시군명,지식산업센터명칭,위도,경도,소재지지번주소,소재지도로명주소,용도지역,부지면적(㎡),건축면적(㎡),층수(지하/지상),공장시설면적(㎡),기타산업시설면적(㎡),지원시설면적(㎡),공동시설면적(㎡),유치가능업체수,입주업체수,입주율,공장동수,분양형태,공사진행상황,허가일자,착공일자,준공일자,사용승인일,사업자등록번호,데이터기준일자,전화번호,비고
수원시,광교더퍼스트,37.266293,127.0602521,경기도 수원시 영통구 원천동 476번지,경기도 수원시 영통구 매영로159번길 19,일반공업,5483,3250.55,B1/15,37491.479,,1323.257,,294,9,0.03,1,분양,준공,2021-04-21,2021-07-08,2023-09-22,2023-07-21,,2024-02-01,,
수원시,광교센트럴비즈타워,37.2954666,127.0374175,경기도 수원시 영통구 이의동 1283번지,경기도 수원시 영통구 창룡대로 260,준주거,4154,3703.76,B3/11,22474,,22735,,252,90,0.36,1,분양,준공,2016-04-04,2016-05-12,2018-05-23,2018-03-20,,2024-02-01,,
수원시,광교플렉스데시앙,37.2953453,127.0386734,경기도 수원시 영통구 이의동 1285-1,경기도 수원시 영통구 창룡대로256번길 50,준주거,6292.4,3190.07,B5/15,42836.32,,1819.21,,298,45,0.15,1,분양,준공,2021-01-14,2021-04-20,2023-08-01,2023-06-28,,2024-02-01,,
수원시,덴티움,37.2955853,127.0405671,경기도 수원시 영통구 이의동 1287번지,경기도 수원시 영통구 창룡대로256번길 76,준주거,9800,5780.77,B4/15,60509.65,,2643.46,,91,4,0.04,1,자가,준공,2016-08-31,2016-12-12,2019-04-02,2019-02-20,,2024-02-01,,
수원시,디지털엠파이어,37.2451306,127.0599568,경기도 수원시 영통구 영통동 980-3번지,경기도 수원시 영통구 덕영대로1556번길 16,준주거,19664,11244.12,B2/14,126379,,32268,,369,186,0.5,1,분양,준공,2003-05-17,2004-04-01,2006-08-07,2006-08-07,,2024-02-01,,
수원시,디지털엠파이어2,37.2474571,127.0505825,경기도 수원시 영통구 신동 486번지,경기도 수원시 영통구 신원로 88,일반공업,29339,12352.13,B2/15,132943,,9493,,584,319,0.55,4,분양,준공,2006-03-14,2006-04-10,2008-06-30,2008-06-30,,2024-02-01,,
수원시,삼성테크노파크,37.2664488,127.0594725,경기도 수원시 영통구 원천동 471번지,경기도 수원시 영통구 중부대로448번길 97,일반공업,4197,2339.17,B2/7,14660,,5467,,66,26,0.39,1,분양,준공,2001-04-27,2002-07-10,2003-09-29,2003-09-29,,2024-02-01,,
수원시,성신테크노,37.255024,127.0611163,경기도 수원시 영통구 매탄동 509-7번지,경기도 수원시 영통구 영통로323번길 38,준공업,3100,1671.47,B1/6,9344,,,,30,24,0.8,1,분양,준공,2002-11-12,2003-01-21,2004-01-20,2004-01-20,,2024-02-01,,
수원시,수원델타원,37.2423998,126.986331,경기도 수원시 권선구 고색동 1098-2,경기도 수원시 권선구 산업로 198,일반공업,9985.1,7786.72,B2/8,59653.38,,4929.78,,260,237,0.91,1,분양,준공,2020-04-22,2020-08-04,2022-07-06,2022-07-01,,2024-02-01,,
수원시,수원벤처밸리2,37.2384582,126.98643,경기도 수원시 권선구 고색동 1152번지,경기도 수원시 권선구 산업로156번길 142-10,일반공업,13278,9870.31,B2/8,79081,,5700,,355,355,1,1,분양,준공,2015-08-24,2015-09-15,2017-06-14,2017-06-08,,2024-02-01,,
수원시,수원벤처프라자1,37.2591402,127.0590012,경기도 수원시 영통구 매탄동 413-3번지,경기도 수원시 영통구 삼성로168번길 48,일반공업,1285,769.9,B1/5,4338,,316,,6,5,0.83,1,임대,준공,2003-03-17,2003-07-03,2004-08-16,2004-08-16,,2024-02-01,,
수원시,수원벤처프라자2,37.2588036,127.0592973,경기도 수원시 영통구 매탄동 409-16번지,경기도 수원시 영통구 신원로283번길 47,일반공업,512,299.55,B1/5,1636,,,,5,3,0.6,1,임대,준공,2003-09-29,2003-10-09,2004-07-20,2004-07-20,,2024-02-01,,
